doctor_name,image_id,score_histology,score_cytology,score_microenvironment,comment,checked_features,qa_accuracy,qa_correct_count,qa_total_count,timestamp
杨琳,1_gemini,3,3,3,嗜酸性粒细胞有点假，太嗜酸了,"[""被覆假复层纤毛柱状上皮"", ""间质水肿显著"", ""嗜酸性粒细胞浸润""]",1.0,3,3,2026-01-11 21:08:30
杨琳,1_openai,3,1,3,间质细胞太假，像卡通画,"[""被覆假复层纤毛柱状上皮""]",0.33,1,3,2026-01-11 21:10:34
杨琳,1_flux2,1,1,1,差,[],0.0,0,3,2026-01-11 21:11:11
杨琳,1_seedream,1,1,1,"完全失真  极差
",[],0.0,0,3,2026-01-11 21:11:37
杨琳,1_hunyuan,1,1,1,失真,[],0.0,0,3,2026-01-11 21:12:01
杨琳,1_qwen,1,1,1,差,[],0.0,0,3,2026-01-11 21:12:27
杨琳,2_qwen,1,1,1,失真,[],0.0,0,1,2026-01-11 21:12:46
杨琳,2_hunyuan,1,1,1,,[],0.0,0,1,2026-01-11 21:13:22
杨琳,2_flux2,1,1,1,,[],0.0,0,1,2026-01-11 21:13:37
杨琳,2_seedream,1,1,1,,[],0.0,0,1,2026-01-11 21:13:47
杨琳,2_gemini,3,2,3,曲霉菌 45度分支结构没有显示出来,[],0.0,0,1,2026-01-11 21:16:22
杨琳,2_openai,2,1,2,,[],0.0,0,1,2026-01-11 21:17:27
杨琳,3_hunyuan,1,1,1,,[],0.0,0,8,2026-01-11 21:17:49
杨琳,3_openai,2,1,3,细胞失真,[],0.0,0,8,2026-01-11 21:18:32
杨琳,3_qwen,1,1,1,,[],0.0,0,8,2026-01-11 21:18:52
杨琳,3_flux2,2,2,1,,[],0.0,0,8,2026-01-11 21:19:32
杨琳,3_seedream,1,1,2,,[],0.0,0,8,2026-01-11 21:19:47
杨琳,3_gemini,5,5,5,,"[""黏膜被覆鳞状上皮增生"", ""黏膜被覆角化"", ""淋巴滤泡增大增多"", ""发育明显的淋巴生发中心"", ""淋巴组织伴有浆细胞浸润""]",0.62,5,8,2026-01-11 21:21:11
杨琳,4_qwen,2,1,1,,[],0.0,0,2,2026-01-11 21:21:49
杨琳,4_hunyuan,1,1,1,,[],0.0,0,2,2026-01-11 21:22:10
杨琳,4_flux2,1,1,1,,[],0.0,0,2,2026-01-11 21:24:23
杨琳,4_openai,2,1,2,细胞失真,[],0.0,0,2,2026-01-11 21:26:17
杨琳,4_gemini,4,3,3,多核巨细胞太假，坏死太假,[],0.0,0,2,2026-01-11 21:27:18
杨琳,4_seedream,1,1,1,,[],0.0,0,2,2026-01-11 21:27:48
杨琳,5_flux2,2,2,3,,[],0.0,0,2,2026-01-11 21:58:35
杨琳,5_seedream,1,1,1,,[],0.0,0,2,2026-01-11 21:58:48
杨琳,5_gemini,5,5,5,,"[""息肉样鳞状上皮黏膜"", ""固有层中可见均质粉染物质沉积""]",1.0,2,2,2026-01-11 21:59:03
杨琳,5_hunyuan,2,1,2,,[],0.0,0,2,2026-01-11 21:59:32
杨琳,5_openai,1,1,1,,[],0.0,0,2,2026-01-11 22:00:18
杨琳,5_qwen,2,1,2,,[],0.0,0,2,2026-01-11 22:00:32
杨琳,6_seedream,1,1,1,,[],0.0,0,7,2026-01-11 22:00:39
杨琳,6_qwen,2,2,2,,[],0.0,0,7,2026-01-11 22:01:06
杨琳,6_openai,2,1,2,,[],0.0,0,7,2026-01-11 22:01:19
杨琳,6_gemini,5,5,5,,"[""鳞状上皮显著增生，向下延伸"", ""上皮脚下大量炎症细胞浸润"", ""上皮细胞未见明显异型"", ""棘层明显增厚""]",0.57,4,7,2026-01-11 22:01:43
杨琳,6_flux2,2,2,2,,"[""鳞状上皮显著增生，向下延伸""]",0.14,1,7,2026-01-11 22:02:43
杨琳,6_hunyuan,2,1,2,,[],0.0,0,7,2026-01-11 22:02:54
杨琳,7_flux2,2,2,1,,[],0.0,0,4,2026-01-11 22:03:19
杨琳,7_seedream,1,1,1,,[],0.0,0,4,2026-01-11 22:03:26
杨琳,7_openai,2,2,2,,[],0.0,0,4,2026-01-11 22:03:50
杨琳,7_qwen,2,2,1,,[],0.0,0,4,2026-01-11 22:04:48
杨琳,7_hunyuan,2,2,2,,[],0.0,0,4,2026-01-11 22:05:23
杨琳,7_gemini,4,4,4,,"[""增生的复层鳞状上皮呈乳头状外生性生长"", ""乳头由多个突起组成"", ""乳头尖端角化不全"", ""乳头中央可见纤维血管轴心""]",1.0,4,4,2026-01-11 22:05:47
杨琳,8_seedream,1,1,1,,[],0.0,0,5,2026-01-11 22:05:54
杨琳,8_qwen,1,1,1,,[],0.0,0,5,2026-01-11 22:06:03
杨琳,8_openai,1,1,1,,[],0.0,0,5,2026-01-11 22:06:12
杨琳,8_hunyuan,2,2,2,,[],0.0,0,5,2026-01-11 22:06:24
杨琳,8_gemini,4,3,4,,"[""增生的鳞状上皮向间质内生长"", ""呼吸上皮向间质内生长"", ""黏液细胞向间质内生长"", ""基底膜完整"", ""上皮内可见大量微囊""]",1.0,5,5,2026-01-11 22:07:35
杨琳,8_flux2,2,1,2,,[],0.0,0,5,2026-01-11 22:07:47
杨琳,9_seedream,1,1,1,,[],0.0,0,4,2026-01-11 22:07:54
杨琳,9_qwen,1,1,1,,[],0.0,0,4,2026-01-11 22:08:01
杨琳,9_openai,3,3,3,,[],0.0,0,4,2026-01-11 22:08:24
杨琳,9_hunyuan,2,2,2,,[],0.0,0,4,2026-01-11 22:08:42
杨琳,9_gemini,5,4,5,,"[""肿瘤细胞呈巢状、浸润性生长"", ""伴角化"", ""可见角化珠"", ""细胞间桥""]",1.0,4,4,2026-01-11 22:09:16
杨琳,9_flux2,1,1,1,,[],0.0,0,4,2026-01-11 22:09:26
杨琳,10_seedream,1,1,1,,[],0.0,0,8,2026-01-11 22:09:32
杨琳,10_qwen,1,1,1,,[],0.0,0,8,2026-01-11 22:09:42
杨琳,10_openai,2,2,2,,[],0.0,0,8,2026-01-11 22:10:05
杨琳,10_hunyuan,2,2,2,,[],0.0,0,8,2026-01-11 22:10:16
杨琳,10_gemini,2,2,3,,[],0.0,0,8,2026-01-11 22:10:39
杨琳,10_flux2,2,2,2,,[],0.0,0,8,2026-01-11 22:11:08
杨琳,11_seedream,1,1,1,,[],0.0,0,5,2026-01-11 22:11:16
杨琳,11_qwen,1,1,2,,[],0.0,0,5,2026-01-11 22:11:33
杨琳,11_openai,2,2,2,,[],0.0,0,5,2026-01-11 22:11:54
杨琳,11_hunyuan,1,1,1,,[],0.0,0,5,2026-01-11 22:12:03
杨琳,11_gemini,4,2,2,结构行，细胞微环境太多纤维,"[""高倍镜下肿瘤细胞边界不清"", ""部分肿瘤细胞呈合体样"", ""细胞核呈泡状""]",0.6,3,5,2026-01-11 22:13:17
杨琳,11_flux2,1,1,1,,[],0.0,0,5,2026-01-11 22:13:26
杨琳,12_seedream,1,1,1,,[],0.0,0,8,2026-01-11 22:13:33
杨琳,12_qwen,1,1,1,,[],0.0,0,8,2026-01-11 22:13:41
杨琳,12_openai,2,2,2,,[],0.0,0,8,2026-01-11 22:14:00
杨琳,12_hunyuan,2,2,2,,[],0.0,0,8,2026-01-11 22:14:20
杨琳,12_gemini,4,3,4,细胞像正常的，不够癌细胞标准,"[""肿瘤呈乳头状生长"", ""肿瘤呈腺样生长"", ""肿瘤细胞呈柱状或假复层排列""]",0.38,3,8,2026-01-11 22:15:32
杨琳,12_flux2,1,1,2,,[],0.0,0,8,2026-01-11 22:15:44
杨琳,13_seedream,1,1,1,,[],0.0,0,7,2026-01-11 22:15:51
杨琳,13_qwen,1,1,1,,[],0.0,0,7,2026-01-11 22:15:59
杨琳,13_openai,2,2,2,,[],0.0,0,7,2026-01-11 22:16:16
杨琳,13_hunyuan,2,2,2,,[],0.0,0,7,2026-01-11 22:16:24
杨琳,13_gemini,4,4,4,,"[""肿瘤细胞呈巢状或小叶状结构"", ""肿瘤细胞被纤维血管间质分隔"", ""肿瘤细胞形态均一，呈小圆细胞形态"", ""肿瘤细胞核呈椒盐样""]",0.57,4,7,2026-01-11 22:16:56
杨琳,13_flux2,1,1,1,,[],0.0,0,7,2026-01-11 22:17:04
杨琳,14_seedream,1,1,1,,[],0.0,0,8,2026-01-11 22:17:09
杨琳,14_qwen,1,2,2,,[],0.0,0,8,2026-01-11 22:17:33
杨琳,14_hunyuan,1,1,1,,[],0.0,0,8,2026-01-11 22:17:44
杨琳,14_gemini,2,3,3,,"[""细胞可见色素沉积""]",0.12,1,8,2026-01-11 22:18:36
杨琳,14_flux2,1,1,1,,[],0.0,0,8,2026-01-11 22:18:51
杨琳,14_openai,4,4,4,色素可见，但堆叠 很假,"[""肿瘤细胞呈片状弥漫性生长"", ""间质血管明显增生"", ""肿瘤细胞较均一"", ""细胞质空亮或淡嗜酸""]",0.5,4,8,2026-01-11 22:19:40
杨琳,15_seedream,1,1,1,,[],0.0,0,6,2026-01-11 22:19:50
杨琳,15_openai,4,3,3,,"[""肿瘤呈管状和筛状排列"", ""肿瘤内可见圆形或卵圆形腔隙"", ""囊壁被覆双层细胞""]",0.5,3,6,2026-01-11 22:20:44
杨琳,15_hunyuan,2,2,2,,[],0.0,0,6,2026-01-11 22:20:55
杨琳,15_flux2,2,2,2,,[],0.0,0,6,2026-01-11 22:21:03
杨琳,15_qwen,1,1,1,,[],0.0,0,6,2026-01-11 22:21:11
杨琳,15_gemini,3,2,2,,[],0.0,0,6,2026-01-11 22:21:34
杨琳,16_qwen,1,1,1,,[],0.0,0,6,2026-01-11 22:21:43
杨琳,16_hunyuan,2,2,2,,[],0.0,0,6,2026-01-11 22:21:51
杨琳,16_flux2,2,2,2,,[],0.0,0,6,2026-01-11 22:22:06
杨琳,16_gemini,4,3,3,"细胞有些失真
","[""肿瘤由分泌黏液的杯状细胞形成腺腔"", ""腺腔内含黏液"", ""伴有复层排列的表皮样细胞""]",0.5,3,6,2026-01-11 22:23:02
杨琳,16_seedream,1,1,1,,[],0.0,0,6,2026-01-11 22:23:08
杨琳,16_openai,4,3,3,细胞有些失真,[],0.0,0,6,2026-01-11 22:23:44
杨琳,17_seedream,1,1,1,,[],0.0,0,4,2026-01-11 22:23:51
杨琳,17_hunyuan,1,1,1,,[],0.0,0,4,2026-01-11 22:23:57
杨琳,17_gemini,3,3,3,,"[""梭形肿瘤细胞呈束状或编织状排列"", ""肿瘤细胞的细胞质丰富，嗜酸性"", ""间质中可见大量淋巴细胞浸润""]",0.75,3,4,2026-01-11 22:24:55
杨琳,17_openai,3,3,3,,[],0.0,0,4,2026-01-11 22:25:16
杨琳,17_qwen,2,2,2,,[],0.0,0,4,2026-01-11 22:29:08
杨琳,17_flux2,2,2,2,,[],0.0,0,4,2026-01-11 22:29:20
杨琳,18_gemini,3,3,3,结构像，但 细胞结构不是滑膜肉瘤,[],0.0,0,5,2026-01-11 22:30:06
杨琳,18_hunyuan,1,1,1,,[],0.0,0,5,2026-01-11 22:30:18
杨琳,18_qwen,1,1,1,,[],0.0,0,5,2026-01-11 22:30:25
杨琳,18_seedream,1,1,1,,[],0.0,0,5,2026-01-11 22:30:31
