row_index,question,spaces_count,has_leading_space,has_trailing_space
144,Antoni A区细胞排列成窦状或脑回状的束条,1,False,False
144,Antoni A区细胞细长，梭形，境界不清,1,False,False
144,Antoni A区细胞核排列成垂直长轴的栅栏状结构,1,False,False
144,无核粉染区域（Verocay小体）存在于Antoni A区,1,False,False
144,Antoni B区细胞疏松，排列紊乱,1,False,False
145,Antoni A区细胞排列成窦状或脑回状的束条,1,False,False
145,Antoni A区细胞细长，梭形，境界不清,1,False,False
145,Antoni A区细胞核排列成垂直长轴的栅栏状结构,1,False,False
145,无核粉染区域（Verocay小体）存在于Antoni A区,1,False,False
145,Antoni B区细胞疏松，排列紊乱,1,False,False
146,Antoni A区细胞排列成窦状或脑回状的束条,1,False,False
146,Antoni A区细胞细长，梭形，境界不清,1,False,False
146,Antoni A区细胞核排列成垂直长轴的栅栏状结构,1,False,False
146,无核粉染区域（Verocay小体）存在于Antoni A区,1,False,False
146,Antoni B区细胞疏松，排列紊乱,1,False,False
147,Antoni A区细胞排列成窦状或脑回状的束条,1,False,False
147,Antoni A区细胞细长，梭形，境界不清,1,False,False
147,Antoni A区细胞核排列成垂直长轴的栅栏状结构,1,False,False
147,无核粉染区域（Verocay小体）存在于Antoni A区,1,False,False
147,Antoni B区细胞疏松，排列紊乱,1,False,False
148,Antoni A区细胞排列成窦状或脑回状的束条,1,False,False
148,Antoni A区细胞细长，梭形，境界不清,1,False,False
148,Antoni A区细胞核排列成垂直长轴的栅栏状结构,1,False,False
148,无核粉染区域（Verocay小体）存在于Antoni A区,1,False,False
148,Antoni B区细胞疏松，排列紊乱,1,False,False
149,Antoni A区细胞排列成窦状或脑回状的束条,1,False,False
149,Antoni A区细胞细长，梭形，境界不清,1,False,False
149,Antoni A区细胞核排列成垂直长轴的栅栏状结构,1,False,False
149,无核粉染区域（Verocay小体）存在于Antoni A区,1,False,False
149,Antoni B区细胞疏松，排列紊乱,1,False,False
1464,可见内胚窦样结构 (S-D小体),1,False,False
1465,可见内胚窦样结构 (S-D小体),1,False,False
1466,可见内胚窦样结构 (S-D小体),1,False,False
1467,可见内胚窦样结构 (S-D小体),1,False,False
1468,可见内胚窦样结构 (S-D小体),1,False,False
1469,可见内胚窦样结构 (S-D小体),1,False,False
1560,Antoni A区由短束状、平行排列的施万细胞组成,1,False,False
1560,Antoni A区可见Verocay小体,1,False,False
1560,Antoni B区由排列疏松、呈星芒状的施万细胞组成,1,False,False
1561,Antoni A区由短束状、平行排列的施万细胞组成,1,False,False
1561,Antoni A区可见Verocay小体,1,False,False
1561,Antoni B区由排列疏松、呈星芒状的施万细胞组成,1,False,False
1562,Antoni A区由短束状、平行排列的施万细胞组成,1,False,False
1562,Antoni A区可见Verocay小体,1,False,False
1562,Antoni B区由排列疏松、呈星芒状的施万细胞组成,1,False,False
1563,Antoni A区由短束状、平行排列的施万细胞组成,1,False,False
1563,Antoni A区可见Verocay小体,1,False,False
1563,Antoni B区由排列疏松、呈星芒状的施万细胞组成,1,False,False
1564,Antoni A区由短束状、平行排列的施万细胞组成,1,False,False
1564,Antoni A区可见Verocay小体,1,False,False
1564,Antoni B区由排列疏松、呈星芒状的施万细胞组成,1,False,False
1565,Antoni A区由短束状、平行排列的施万细胞组成,1,False,False
1565,Antoni A区可见Verocay小体,1,False,False
1565,Antoni B区由排列疏松、呈星芒状的施万细胞组成,1,False,False
