doctor_name,image_id,score_histology,score_cytology,score_microenvironment,comment,checked_features,qa_accuracy,qa_correct_count,qa_total_count,timestamp
TsingTsing,340_gemini,3,3,3,,"[""肿瘤侵及骨组织"", ""可见出血"", ""含铁血黄素沉积""]",0.75,3,4,2026-01-14 20:53:21
TsingTsing,340_flux2,2,2,2,,[],0.0,0,4,2026-01-14 20:54:07
TsingTsing,340_hunyuan,2,3,2,,[],0.0,0,4,2026-01-14 20:54:43
TsingTsing,340_seedream,1,1,1,,[],0.0,0,4,2026-01-14 20:54:52
TsingTsing,340_openai,2,2,2,,"[""可见出血"", ""含铁血黄素沉积""]",0.5,2,4,2026-01-14 20:55:07
TsingTsing,340_qwen,2,2,1,,[],0.0,0,4,2026-01-14 20:55:26
TsingTsing,341_hunyuan,2,2,1,,[],0.0,0,8,2026-01-14 20:55:56
TsingTsing,341_openai,2,2,3,,"[""间质可见散在淋巴细胞浸润"", ""可见灶状含铁血黄素沉积""]",0.25,2,8,2026-01-14 20:56:53
TsingTsing,341_flux2,2,3,3,,[],0.0,0,8,2026-01-14 20:57:18
TsingTsing,341_seedream,1,1,1,,[],0.0,0,8,2026-01-14 20:57:37
TsingTsing,341_qwen,1,1,1,,[],0.0,0,8,2026-01-14 20:57:49
TsingTsing,341_gemini,2,2,3,,"[""肿瘤由破骨样多核巨细胞组成"", ""肿瘤由不同比例的细胞类型组成"", ""可见灶状含铁血黄素沉积""]",0.38,3,8,2026-01-14 20:58:13
TsingTsing,342_gemini,4,4,3,,"[""与表皮之间可见结缔组织间隔"", ""肿瘤由卵圆形或短梭形细胞组成""]",0.29,2,7,2026-01-14 20:59:17
TsingTsing,342_seedream,1,1,1,,[],0.0,0,7,2026-01-14 20:59:27
TsingTsing,342_qwen,2,2,1,,[],0.0,0,7,2026-01-14 20:59:58
TsingTsing,342_flux2,3,2,2,,"[""与表皮之间可见结缔组织间隔""]",0.14,1,7,2026-01-14 21:00:26
TsingTsing,342_openai,4,4,3,,"[""与表皮之间可见结缔组织间隔"", ""肿瘤由卵圆形或短梭形细胞组成""]",0.29,2,7,2026-01-14 21:00:59
TsingTsing,342_hunyuan,3,1,2,,[],0.0,0,7,2026-01-14 21:13:34
TsingTsing,343_flux2,1,2,1,,[],0.0,0,3,2026-01-14 21:14:15
TsingTsing,343_openai,2,3,3,,"[""肿瘤主要由成熟的脂肪组织组成"", ""血管形成明显，大小不一""]",0.67,2,3,2026-01-14 21:14:55
TsingTsing,343_gemini,4,4,3,,"[""肿瘤主要由成熟的脂肪组织组成"", ""血管形成明显，大小不一"", ""血管内可见血栓""]",1.0,3,3,2026-01-14 21:15:20
TsingTsing,343_hunyuan,2,2,3,,[],0.0,0,3,2026-01-14 21:15:59
TsingTsing,343_qwen,1,1,1,,[],0.0,0,3,2026-01-14 21:16:10
TsingTsing,343_seedream,1,1,1,,[],0.0,0,3,2026-01-14 21:16:16
TsingTsing,344_openai,2,3,3,,"[""肿瘤内有成熟脂肪细胞""]",0.14,1,7,2026-01-14 21:16:48
TsingTsing,344_qwen,1,1,1,,[],0.0,0,7,2026-01-14 21:16:57
TsingTsing,344_seedream,1,1,1,,[],0.0,0,7,2026-01-14 21:17:03
TsingTsing,344_gemini,3,3,3,,"[""肿瘤内有成熟脂肪细胞""]",0.14,1,7,2026-01-14 21:17:24
TsingTsing,344_hunyuan,2,2,2,,[],0.0,0,7,2026-01-14 21:17:40
TsingTsing,344_flux2,2,2,2,,[],0.0,0,7,2026-01-14 21:17:57
